Timestamp,Quaternion_W,Quaternion_X,Quaternion_Y,Quaternion_Z
2024-01-03 23:52:13.369,14557,66,-36,7518
2024-01-03 23:52:13.394,14557,66,-36,7518
2024-01-03 23:52:13.401,14557,66,-36,7518
2024-01-03 23:52:13.422,14557,66,-36,7518
2024-01-03 23:52:13.449,14557,66,-36,7518
2024-01-03 23:52:13.476,14557,66,-36,7518
2024-01-03 23:52:13.503,14557,66,-36,7518
2024-01-03 23:52:13.532,14557,66,-36,7518
2024-01-03 23:52:13.560,14557,66,-36,7518
2024-01-03 23:52:13.586,14557,66,-36,7518
2024-01-03 23:52:13.641,14557,66,-36,7518
2024-01-03 23:52:13.664,14557,66,-36,7518
2024-01-03 23:52:13.669,14557,66,-36,7518
2024-01-03 23:52:13.697,14557,66,-36,7518
2024-01-03 23:52:13.723,14557,66,-36,7518
2024-01-03 23:52:13.763,14557,66,-36,7518
2024-01-03 23:52:13.783,14557,66,-36,7518
2024-01-03 23:52:13.805,14557,66,-36,7518
2024-01-03 23:52:13.835,14557,66,-36,7518
2024-01-03 23:52:13.863,14557,66,-36,7518
2024-01-03 23:52:13.889,14557,66,-36,7518
2024-01-03 23:52:13.931,14557,66,-36,7518
2024-01-03 23:52:13.943,14557,66,-36,7518
2024-01-03 23:52:13.969,14557,66,-36,7518
2024-01-03 23:52:13.998,14557,66,-36,7518
2024-01-03 23:52:14.023,14557,66,-36,7518
2024-01-03 23:52:14.054,14557,66,-36,7518
2024-01-03 23:52:14.078,14557,66,-36,7518
2024-01-03 23:52:14.110,14557,66,-36,7518
2024-01-03 23:52:14.133,14557,66,-36,7518
2024-01-03 23:52:14.162,14557,66,-36,7518
2024-01-03 23:52:14.189,14557,66,-36,7518
2024-01-03 23:52:14.218,14557,66,-36,7518
2024-01-03 23:52:14.254,14557,66,-36,7518
2024-01-03 23:52:14.272,14557,66,-36,7518
2024-01-03 23:52:14.304,14557,66,-36,7518
2024-01-03 23:52:14.327,14557,66,-36,7518
2024-01-03 23:52:14.355,14557,66,-36,7518
2024-01-03 23:52:14.382,14557,66,-36,7518
2024-01-03 23:52:14.416,14557,66,-36,7518
2024-01-03 23:52:14.441,14557,66,-36,7518
2024-01-03 23:52:14.466,14557,66,-36,7518
2024-01-03 23:52:14.497,14557,66,-36,7518
2024-01-03 23:52:14.516,14557,66,-36,7518
2024-01-03 23:52:14.544,14557,66,-36,7518
2024-01-03 23:52:14.601,14557,66,-36,7518
2024-01-03 23:52:14.632,14557,66,-36,7518
2024-01-03 23:52:14.637,14557,66,-36,7518
2024-01-03 23:52:14.652,14557,66,-36,7518
2024-01-03 23:52:14.698,14557,66,-36,7518
2024-01-03 23:52:14.707,14557,66,-36,7518
2024-01-03 23:52:14.740,14557,66,-36,7518
2024-01-03 23:52:14.782,14557,66,-36,7518
2024-01-03 23:52:14.791,14557,66,-36,7518
2024-01-03 23:52:14.816,14557,66,-36,7518
2024-01-03 23:52:14.878,14557,66,-36,7518
2024-01-03 23:52:14.884,14557,66,-36,7518
2024-01-03 23:52:14.894,14557,66,-36,7518
2024-01-03 23:52:14.952,14557,66,-36,7518
2024-01-03 23:52:14.968,14557,66,-36,7518
2024-01-03 23:52:14.981,14557,66,-36,7518
2024-01-03 23:52:15.028,14557,66,-36,7518
2024-01-03 23:52:15.037,14557,66,-36,7518
2024-01-03 23:52:15.062,14557,66,-36,7518
2024-01-03 23:52:15.090,14557,66,-36,7518
2024-01-03 23:52:15.125,14557,66,-36,7518
2024-01-03 23:52:15.169,14557,66,-36,7518
2024-01-03 23:52:15.181,14557,66,-36,7518
2024-01-03 23:52:15.199,14557,66,-36,7518
2024-01-03 23:52:15.233,14557,66,-36,7518
2024-01-03 23:52:15.259,14557,66,-36,7518
2024-01-03 23:52:15.282,14557,66,-36,7518
2024-01-03 23:52:15.318,14557,66,-36,7518
2024-01-03 23:52:15.336,14557,66,-36,7518
2024-01-03 23:52:15.368,14557,66,-36,7518
2024-01-03 23:52:15.391,14557,66,-36,7518
2024-01-03 23:52:15.417,14557,66,-36,7518
2024-01-03 23:52:15.444,14557,66,-36,7518
2024-01-03 23:52:15.473,14557,66,-36,7518
2024-01-03 23:52:15.499,14557,66,-36,7518
2024-01-03 23:52:15.555,14557,66,-36,7518
2024-01-03 23:52:15.588,14557,66,-36,7518
2024-01-03 23:52:15.593,14557,66,-36,7518
2024-01-03 23:52:15.620,14557,66,-36,7518
2024-01-03 23:52:15.637,14557,66,-36,7518
2024-01-03 23:52:15.668,14557,66,-36,7518
2024-01-03 23:52:15.690,14557,66,-36,7518
2024-01-03 23:52:15.738,14557,66,-36,7518
2024-01-03 23:52:15.746,14557,66,-36,7518
2024-01-03 23:52:15.774,14557,66,-36,7518
2024-01-03 23:52:15.839,14557,66,-36,7518
2024-01-03 23:52:15.846,14557,66,-36,7518
2024-01-03 23:52:15.867,14557,66,-36,7518
2024-01-03 23:52:15.889,14557,66,-36,7518
2024-01-03 23:52:15.913,14557,66,-36,7518
2024-01-03 23:52:15.941,14557,66,-36,7518
2024-01-03 23:52:15.968,14557,66,-36,7518
2024-01-03 23:52:15.997,14557,66,-36,7518
2024-01-03 23:52:16.026,14557,66,-36,7518
2024-01-03 23:52:16.050,14557,66,-36,7518
2024-01-03 23:52:16.078,14557,66,-36,7518
2024-01-03 23:52:16.108,14557,66,-36,7518
2024-01-03 23:52:16.133,14557,66,-36,7518
2024-01-03 23:52:16.163,14557,66,-36,7518
2024-01-03 23:52:16.189,14557,66,-36,7518
2024-01-03 23:52:16.223,14557,66,-36,7518
2024-01-03 23:52:16.244,14557,66,-36,7518
2024-01-03 23:52:16.271,14557,66,-36,7518
2024-01-03 23:52:16.299,14557,66,-36,7518
2024-01-03 23:52:16.336,14557,66,-36,7518
2024-01-03 23:52:16.363,14557,66,-36,7518
2024-01-03 23:52:16.383,14557,66,-36,7518
2024-01-03 23:52:16.413,14557,66,-36,7518
2024-01-03 23:52:16.436,14557,66,-36,7518
2024-01-03 23:52:16.472,14557,66,-36,7518
2024-01-03 23:52:16.494,14557,66,-36,7518
2024-01-03 23:52:16.541,14557,66,-36,7518
2024-01-03 23:52:16.556,14557,66,-36,7518
2024-01-03 23:52:16.599,14557,66,-36,7518
2024-01-03 23:52:16.627,14557,66,-36,7518
